title,date,description,picture_filename,count_of_search_phrases,contains_money
"Sor­ry, but Iran is not the ag­gres­sor here | Is­rael War on Gaza | Al ...",14 Apr 2024,3 days ago ... Ger­many's Am­bas­sador to Is­rael Stef­fen Seib­ert took to so­cial ­me­di­a to pro­claim Ger­man sol­i­dar­i­ty “with all ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj1KfPYxqj2-LWt4Mng5Ta86ZVfTaEyH4DtT6Fk3XHciwGlGaQ1a-SNEs&s&resize=770%2C513&quality=80,0,False
"Iran launch­es hun­dreds of mis­siles, drones in first di­rect at­tack on ...",14 Apr 2024,3 days ago ... Russ­ian Deputy UN Am­bas­sador Dmit­ry Polyan­skiy said on the Telegram so­cial ­me­di­a ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ82k4tNMeUq80MqfvQWWPx20uPvSLrxWw-IFe_kKSEtI7nNEELo2aYDi3B&s&resize=770%2C513&quality=80,0,False
Iran's IRGC seizes 'Is­raeli-linked' ship near Strait of Hor­muz | Is­rael ...,14 Apr 2024,"4 days ago ... IRGC forces con­duct­ed an op­er­a­tion via he­li­copter to take con­trol of the com­mer­cial ves­sel, state ­me­di­a re­ports.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRI6HmutxF7m96TQF9EjlkFCAAOlLZB_Sy5_TtQ581Ef1If3rqeT-5iEFI4&s&resize=770%2C513&quality=80,0,False
"Geno­cide in Gaza: En­abled by AI, pow­ered by Big Tech | TV Shows ...",13 Apr 2024,4 days ago ... The un­rav­el­ling of the New York Times 'Hamas rape' sto­ry. Video Du­ra­tion 24 min­utes 51 sec­onds 24:51. Me­dia he­roes and trai­tors – As­sange vs ...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRWU1W-U-dlm28vRpcpNp-EDDysTckUspJqUZtzzEa3V2INqF_F2RU6TqU&s&resize=770%2C513&quality=80,0,False
Weapon­is­ing un­der­wear: Geno­cide with a semi-porno­graph­ic twist ...,12 Apr 2024,5 days ago ... ... ­me­di­a posts with lin­gerie be­long­ing to Is­raeli women who had been forced to flee their homes and/or killed in the war. Imag­ine the moral ...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8u6c62-jqq1TurVWa4USWq8U2BjyV0nm8lwIvUSpgqJCKveaoaKIOUdI&s&resize=770%2C513&quality=80,0,False
Jour­nal­ist los­es foot af­ter be­ing bad­ly wound­ed in Is­raeli at­tack in ...,12 Apr 2024,5 days ago ... Gaza­'s ­me­di­a of­fice and Re­porters With­out Bor­ders say there is ev­i­dence to sug­gest it was a tar­get­ed at­tack.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQGdY5nKjEV2BE9JSazgDWo6doCg30PIJ0lTfp0v1-CCSGar8DFBqwBI4&s&resize=770%2C513&quality=80,0,False
Chile calls for the ex­tra­di­tion of Venezue­lans af­ter dis­si­den­t's mur­der ...,12 Apr 2024,"5 days ago ... ... ­me­di­a”. That prompt­ed an out­cry from the Chilean gov­ern­ment. “It is an in­sult to the peo­ple of Chile and Latin Amer­i­ca,” Toha said on Mon­day ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwqvXPVkD3nsWZyS381x_XUCyKtBVdX4duppGPp_jFUo5YtjJiVIRbVIs&s&resize=770%2C513&quality=80,0,False
"Rus­sia sends mil­i­tary train­ers, air de­fence sys­tem to Niger: State ...",12 Apr 2024,"5 days ago ... Rus­sia sends mil­i­tary train­ers, air de­fence sys­tem to Niger: State ­me­di­a. Vi­o­lence in the re­gion has wors­ened since coups in Niger and its ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL41D0heNVyOR8YizPbRuJc7j14m9e0efi-VD-WRjSLRS_v8JgK3La2uQ&s&resize=770%2C513&quality=80,0,False
Biden 'con­sid­er­ing' Aus­tralian re­quest to drop case against As­sange ...,11 Apr 2024,"7 days ago ... As­sange's wife Stel­la in a so­cial ­me­di­a post called on Biden to “do the right thing” and drop the charges. As­sange, 52, has been in­dict­ed on 17 ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdL4stVkaApNHDMLkEvc2CAf4DLoQPUqnZ1ecOm40j_G4c7oVjrPKbrnVE&s&resize=770%2C513&quality=80,0,False
"OJ Simp­son, for­mer US foot­ball star ac­quit­ted of mur­der, dies aged 76",11 Apr 2024,"6 days ago ... Simp­son died this week af­ter a bat­tle with can­cer, his fam­i­ly an­nounced in a state­ment on so­cial ­me­di­a.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4nnsFDWd-jKOAhgp8_glvEImjY1mJ6yiEG4Gme-He4yH_mgxrp7xmXoU9&s&resize=770%2C513&quality=80,0,False
